2021-12-07 18:25:06,673 | 6084 | INFO | Message #0
2021-12-07 18:25:08,649 | 9536 | INFO | Message #1
2021-12-072021-12-07 18:25:26,727 | 14676 | INFO | Join Producer
2021-12-07 18:25:28,853 | 14676 | INFO | Join Consumer
4,669 | 9536 | INFO | Message #4
2021-12-07 18:25:16,672 | 9536 | INFO | Message #5
2021-12-07 18:25:18,682 | 9536 | INFO | Message #6
2021-12-07 18:25:20,684 | 9536 | INFO | Message #7
2021-12-07 18:25:22,698 | 9536 | INFO | Message #8
2021-12-07 18:25:24,704 | 9536 | INFO | Message #9
2021-12-07 18:25:26,709 | 9536 | INFO | Producer Finished
l Read, Try #0
2021-12-07 18:25:16,734 | 6084 | INFO | Message #5
2021-12-07 18:25:17,734 | 6084 | INFO | Unsuccessful Read, Try #0
2021-12-07 18:25:18,746 | 6084 | INFO | Message #6
2021-12-07 18:25:19,762 | 6084 | INFO | Unsuccessful Read, Try #0
2021-12-07 18:25:20,762 | 6084 | INFO | Message #7
2021-12-07 18:25:21,764 | 6084 | INFO | Unsuccessful Read, Try #0
2021-12-07 18:25:22,776 | 6084 | INFO | Message #8
2021-12-07 18:25:23,786 | 6084 | INFO | Unsuccessful Read, Try #0
2021-12-07 18:25:24,798 | 6084 | INFO | Message #9
2021-12-07 18:25:25,813 | 6084 | INFO | Unsuccessful Read, Try #0
2021-12-07 18:25:26,819 | 6084 | INFO | Unsuccessful Read, Try #1
2021-12-07 18:25:27,825 | 6084 | INFO | Unsuccessful Read, Try #2
2021-12-07 18:25:28,838 | 6084 | INFO | Consumer Finished
